subject,domain,condition,condition_short,metric,value
p007,Tomato,C1: All,C1,조작성공률 (%),100
p007,Tomato,C1: All,C1,SAGAT1,0.5
p007,Tomato,C1: All,C1,SAGAT2,1
p007,Tomato,C1: All,C1,SAGAT3,0.5
p007,Tomato,C1: All,C1,Fatigue,1
p007,Tomato,C1: All,C1,NASA-RTLX,1.33333
p007,Tomato,C1: All,C1,SART,2
p008,Tomato,C1: All,C1,조작성공률 (%),100
p008,Tomato,C1: All,C1,조작시간 (s),39
p008,Tomato,C1: All,C1,SAGAT1,1
p008,Tomato,C1: All,C1,SAGAT2,0.5
p008,Tomato,C1: All,C1,SAGAT3,0.5
p008,Tomato,C1: All,C1,Fatigue,3
p008,Tomato,C1: All,C1,NASA-RTLX,2.33333
p008,Tomato,C1: All,C1,SART,4.4
p005,Waste,C2: No,C2,조작시간 (s),1
p005,Waste,C2: No,C2,SAGAT1,1
p005,Waste,C2: No,C2,SAGAT2,0
p005,Waste,C2: No,C2,SAGAT3,1
p005,Waste,C2: No,C2,Fatigue,1
p005,Waste,C2: No,C2,NASA-RTLX,1.5
p005,Waste,C2: No,C2,SART,3.6
p006,Waste,C2: No,C2,조작시간 (s),1
p006,Waste,C2: No,C2,SAGAT1,1
p006,Waste,C2: No,C2,SAGAT2,0
p006,Waste,C2: No,C2,SAGAT3,1
p006,Waste,C2: No,C2,Fatigue,1
p006,Waste,C2: No,C2,NASA-RTLX,1.16667
p006,Waste,C2: No,C2,SART,2.5
p007,Waste,C2: No,C2,SAGAT1,1
p007,Waste,C2: No,C2,SAGAT2,1
p007,Waste,C2: No,C2,SAGAT3,0.5
p007,Waste,C2: No,C2,Fatigue,2
p007,Waste,C2: No,C2,NASA-RTLX,1
p007,Waste,C2: No,C2,SART,2.2
p008,Waste,C2: No,C2,조작시간 (s),0
p008,Waste,C2: No,C2,SAGAT1,1
p008,Waste,C2: No,C2,SAGAT2,0
p008,Waste,C2: No,C2,SAGAT3,1
p008,Waste,C2: No,C2,Fatigue,6
p008,Waste,C2: No,C2,NASA-RTLX,2.5
p008,Waste,C2: No,C2,SART,3.4
p005,Tomato,C2: No,C2,조작시간 (s),0
p005,Tomato,C2: No,C2,SAGAT1,0.5
p005,Tomato,C2: No,C2,SAGAT2,0.5
p005,Tomato,C2: No,C2,SAGAT3,0.5
p005,Tomato,C2: No,C2,Fatigue,1
p005,Tomato,C2: No,C2,NASA-RTLX,1.33333
p005,Tomato,C2: No,C2,SART,4
p006,Tomato,C2: No,C2,조작시간 (s),0
p006,Tomato,C2: No,C2,SAGAT1,0.5
p006,Tomato,C2: No,C2,SAGAT2,0
p006,Tomato,C2: No,C2,SAGAT3,1
p006,Tomato,C2: No,C2,Fatigue,1
p006,Tomato,C2: No,C2,NASA-RTLX,1.5
p006,Tomato,C2: No,C2,SART,3.6
p007,Tomato,C2: No,C2,SAGAT1,1
p007,Tomato,C2: No,C2,SAGAT2,0.5
p007,Tomato,C2: No,C2,SAGAT3,1
p007,Tomato,C2: No,C2,Fatigue,2
p007,Tomato,C2: No,C2,NASA-RTLX,1.16667
p007,Tomato,C2: No,C2,SART,2
p008,Tomato,C2: No,C2,조작시간 (s),14
p008,Tomato,C2: No,C2,SAGAT1,0.5
p008,Tomato,C2: No,C2,SAGAT2,0
p008,Tomato,C2: No,C2,SAGAT3,0.5
p008,Tomato,C2: No,C2,Fatigue,3
p008,Tomato,C2: No,C2,NASA-RTLX,3.16667
p008,Tomato,C2: No,C2,SART,3.2
p005,Waste,C3: Ours1,C3,조작성공률 (%),100
p005,Waste,C3: Ours1,C3,조작시간 (s),10
p005,Waste,C3: Ours1,C3,SAGAT1,1
p005,Waste,C3: Ours1,C3,SAGAT2,0.5
p005,Waste,C3: Ours1,C3,SAGAT3,0.5
p005,Waste,C3: Ours1,C3,Fatigue,3
p005,Waste,C3: Ours1,C3,NASA-RTLX,1.66667
p005,Waste,C3: Ours1,C3,SART,4.1
p006,Waste,C3: Ours1,C3,조작성공률 (%),100
p006,Waste,C3: Ours1,C3,조작시간 (s),18
p006,Waste,C3: Ours1,C3,SAGAT1,1
p006,Waste,C3: Ours1,C3,SAGAT2,0.5
p006,Waste,C3: Ours1,C3,SAGAT3,1
p006,Waste,C3: Ours1,C3,Fatigue,2
p006,Waste,C3: Ours1,C3,NASA-RTLX,1.5
p006,Waste,C3: Ours1,C3,SART,2.8
p007,Waste,C3: Ours1,C3,조작성공률 (%),100
p007,Waste,C3: Ours1,C3,SAGAT1,1
p007,Waste,C3: Ours1,C3,SAGAT2,1
p007,Waste,C3: Ours1,C3,SAGAT3,1
p007,Waste,C3: Ours1,C3,Fatigue,1
p007,Waste,C3: Ours1,C3,NASA-RTLX,1
p007,Waste,C3: Ours1,C3,SART,2
p008,Waste,C3: Ours1,C3,조작성공률 (%),0
p008,Waste,C3: Ours1,C3,조작시간 (s),10
p008,Waste,C3: Ours1,C3,SAGAT1,0.5
p008,Waste,C3: Ours1,C3,SAGAT2,0.5
p008,Waste,C3: Ours1,C3,SAGAT3,0.5
p008,Waste,C3: Ours1,C3,Fatigue,3
p008,Waste,C3: Ours1,C3,NASA-RTLX,4
p008,Waste,C3: Ours1,C3,SART,3.8
p005,Tomato,C3: Ours1,C3,조작성공률 (%),100
p005,Tomato,C3: Ours1,C3,조작시간 (s),34
p005,Tomato,C3: Ours1,C3,SAGAT1,0.5
p005,Tomato,C3: Ours1,C3,SAGAT2,0.5
p005,Tomato,C3: Ours1,C3,SAGAT3,1
p005,Tomato,C3: Ours1,C3,Fatigue,2
p005,Tomato,C3: Ours1,C3,NASA-RTLX,1.5
p005,Tomato,C3: Ours1,C3,SART,4.2
p006,Tomato,C3: Ours1,C3,조작성공률 (%),100
p006,Tomato,C3: Ours1,C3,조작시간 (s),17
p006,Tomato,C3: Ours1,C3,SAGAT1,0.5
p006,Tomato,C3: Ours1,C3,SAGAT2,0.5
p006,Tomato,C3: Ours1,C3,SAGAT3,1
p006,Tomato,C3: Ours1,C3,Fatigue,2
p006,Tomato,C3: Ours1,C3,NASA-RTLX,1.66667
p006,Tomato,C3: Ours1,C3,SART,1.7
p007,Tomato,C3: Ours1,C3,조작성공률 (%),0
