figure,domain,metric,comparison,condition_a,condition_b,shown_on_figure,stars,test,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,conditions_included
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,9,12.5,0.261719,1,-0.444444,-0.314814,-0.16667,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C2 vs C5,C2,C5,yes,*,Wilcoxon signed-rank exact,12,10,0,0.00195312,0.0195312,-1,-1.06666,-0.666665,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,8,2,0.0234375,0.234375,0.888889,0.562499,0.33333,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,12,20,0.149414,1,-0.487179,-0.277778,-0.416665,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C4 vs C5,C4,C5,yes,**,Wilcoxon signed-rank exact,12,11,0,0.000976562,0.00976562,-1,-0.71212,-0.66667,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,11,14,0.0996094,0.996094,-0.575758,-0.309091,-0.5,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,12,7.5,0.00976562,0.0976562,-0.807692,-0.3,-0.35,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,12,22,0.193359,1,-0.435897,-0.108333,-0.1,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,11,18.5,0.213867,1,-0.439394,-0.263636,-0.1,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,12,38,0.966309,1,-0.025641,-0.0166667,0.05,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,11,18.5,0.214844,1,0.439394,0.190909,0.3,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,10,24.5,0.791016,1,0.109091,0.05,0.15,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,12,14,0.0488281,0.488281,0.641026,0.191667,0.3,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,12,34,0.718262,1,0.128205,0.0583333,0.15,"C1,C2,C3,C4,C5"
figures/waste_sart.png,Waste,SART,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,10,18.5,0.390625,1,-0.327273,-0.16,-0.2,"C1,C2,C3,C4,C5"
figures/tomato_task_success.png,Tomato,조작성공률 (%),C1 vs C3,C1,C3,no,,McNemar exact,12,5,nan,1,1,-0.2,-8.33333,0,"C1,C3,C4,C5"
figures/tomato_task_success.png,Tomato,조작성공률 (%),C1 vs C4,C1,C4,no,,McNemar exact,12,1,nan,1,1,-1,-8.33333,0,"C1,C3,C4,C5"
figures/tomato_task_success.png,Tomato,조작성공률 (%),C1 vs C5,C1,C5,no,,McNemar exact,12,4,nan,0.125,0.75,-1,-33.3333,0,"C1,C3,C4,C5"
figures/tomato_task_success.png,Tomato,조작성공률 (%),C3 vs C4,C3,C4,no,,McNemar exact,12,4,nan,1,1,0,0,0,"C1,C3,C4,C5"
figures/tomato_task_success.png,Tomato,조작성공률 (%),C3 vs C5,C3,C5,no,,McNemar exact,12,3,nan,0.25,1,-1,-25,0,"C1,C3,C4,C5"
figures/tomato_task_success.png,Tomato,조작성공률 (%),C4 vs C5,C4,C5,no,,McNemar exact,12,3,nan,0.25,1,-1,-25,0,"C1,C3,C4,C5"
figures/tomato_operation_time.png,Tomato,조작시간 (s),C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,9,9,6.5,0.0585938,0.351562,0.711111,13.7778,19,"C1,C3,C4,C5"
figures/tomato_operation_time.png,Tomato,조작시간 (s),C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,9,9,2,0.0117188,0.0703125,0.911111,17.6667,25,"C1,C3,C4,C5"
figures/tomato_operation_time.png,Tomato,조작시간 (s),C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,9,8,5,0.078125,0.46875,0.722222,10.5,9.5,"C1,C3,C4,C5"
figures/tomato_operation_time.png,Tomato,조작시간 (s),C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,9,9,14,0.355469,1,0.377778,3.88889,6,"C1,C3,C4,C5"
figures/tomato_operation_time.png,Tomato,조작시간 (s),C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,9,9,18,0.644531,1,-0.2,-4.44444,-1,"C1,C3,C4,C5"
figures/tomato_operation_time.png,Tomato,조작시간 (s),C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,9,9,14,0.359375,1,-0.377778,-8.33333,-2,"C1,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,7,8,0.453125,1,0.428571,0.214286,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,8,4.5,0.0703125,0.703125,0.75,0.375,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,7,4,0.125,1,0.714286,0.357143,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,6,0,0.03125,0.3125,1,0.5,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,3,0,0.25,1,1,0.5,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,8,13.5,0.726562,1,0.25,0.125,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,5,3,0.375,1,0.6,0.3,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,5,6,1,1,-0.2,-0.1,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,2,1.5,1,1,0,0,0,"C1,C2,C3,C4,C5"
figures/tomato_sagat1.png,Tomato,SAGAT1,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,5,6,1,1,0.2,0.1,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,8,9,0.289062,1,0.5,0.25,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,4,4,1,1,0.2,0.125,0,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,9,22.5,1,1,0,0,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,7,12,1,1,-0.142857,-0.0714286,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,9,15,0.507812,1,-0.333333,-0.166667,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,7,8.5,0.46875,1,-0.392857,-0.285714,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,8,8,0.234375,1,-0.555556,-0.3125,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,9,20.5,0.972656,1,-0.0888889,-0.0555556,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,6,7.5,0.53125,1,-0.285714,-0.166667,0,"C1,C2,C3,C4,C5"
figures/tomato_sagat2.png,Tomato,SAGAT2,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,8,17,1,1,-0.0555556,-0.0625,-0.5,"C1,C2,C3,C4,C5"
