global_index,domain,scene,threshold,answer_type,noisy_oracle_error_rate,seed_mode,max_step
260,tomato,02,0.8,oracle,0.0,random,50
261,tomato,02,0.8,oracle,0.0,random,50
262,tomato,02,0.8,oracle,0.0,random,50
263,tomato,02,0.8,oracle,0.0,random,50
264,tomato,02,0.8,oracle,0.0,random,50
265,tomato,02,0.8,oracle,0.0,random,50
266,tomato,02,0.8,oracle,0.0,random,50
267,tomato,02,0.8,oracle,0.0,random,50
268,tomato,02,0.8,oracle,0.0,random,50
269,tomato,02,0.8,oracle,0.0,random,50
270,tomato,02,0.8,oracle,0.0,random,50
271,tomato,02,0.8,oracle,0.0,random,50
272,tomato,02,0.8,oracle,0.0,random,50
273,tomato,02,0.8,oracle,0.0,random,50
274,tomato,02,0.8,oracle,0.0,random,50
275,tomato,02,0.8,oracle,0.0,random,50
276,tomato,02,0.8,oracle,0.0,random,50
277,tomato,02,0.8,oracle,0.0,random,50
278,tomato,02,0.8,oracle,0.0,random,50
279,tomato,02,0.8,oracle,0.0,random,50
280,tomato,02,0.8,oracle,0.0,random,50
281,tomato,03,0.8,oracle,0.0,random,50
282,tomato,03,0.8,oracle,0.0,random,50
283,tomato,03,0.8,oracle,0.0,random,50
284,tomato,03,0.8,oracle,0.0,random,50
285,tomato,03,0.8,oracle,0.0,random,50
286,tomato,03,0.8,oracle,0.0,random,50
287,tomato,03,0.8,oracle,0.0,random,50
288,tomato,03,0.8,oracle,0.0,random,50
289,tomato,03,0.8,oracle,0.0,random,50
290,tomato,03,0.8,oracle,0.0,random,50
291,tomato,03,0.8,oracle,0.0,random,50
292,tomato,03,0.8,oracle,0.0,random,50
293,tomato,03,0.8,oracle,0.0,random,50
294,tomato,03,0.8,oracle,0.0,random,50
295,tomato,03,0.8,oracle,0.0,random,50
296,tomato,03,0.8,oracle,0.0,random,50
297,tomato,03,0.8,oracle,0.0,random,50
298,tomato,03,0.8,oracle,0.0,random,50
299,tomato,03,0.8,oracle,0.0,random,50
300,tomato,03,0.8,oracle,0.0,random,50
301,tomato,03,0.8,oracle,0.0,random,50
302,tomato,03,0.8,oracle,0.0,random,50
303,tomato,03,0.8,oracle,0.0,random,50
304,tomato,03,0.8,oracle,0.0,random,50
