domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161126.txt,2026-06-16 16:11:26,gpt-4o,v2,1778586533,0.92,False,Dead-end: true plastic waste waste2 was placed into paper bin.,5,5,2,3,0,0,5.0,5.0,1.8,3.0,14.217645639990224,3891,1183,5074
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161144.txt,2026-06-16 16:11:44,gpt-4o,v2,2103863013,0.92,False,Dead-end: true plastic waste waste2 was placed into paper bin.,5,5,2,3,0,0,5.0,5.0,1.4,2.0,17.015119925999898,3890,1183,5073
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161204.txt,2026-06-16 16:12:04,gpt-4o,v2,3767892154,0.92,False,Dead-end: true plastic waste waste1 was placed into paper bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,5.91336977899482,2311,687,2998
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161214.txt,2026-06-16 16:12:14,gpt-4o,v2,2209491268,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.3,2.0,25.686617090992513,7893,2477,10370
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161245.txt,2026-06-16 16:12:45,gpt-4o,v2,2852992025,0.92,False,Dead-end: true general waste waste4 was placed into paper bin.,10,10,3,7,0,0,5.0,5.0,1.4,2.3333333333333335,25.468443476987886,7848,2432,10280
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161316.txt,2026-06-16 16:13:16,gpt-4o,v2,878034620,0.92,False,Dead-end: true paper waste waste3 was placed into plastic bin.,5,5,1,4,0,0,5.0,5.0,1.2,2.0,12.452825294996728,3891,1183,5074
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161337.txt,2026-06-16 16:13:37,gpt-4o,v2,2519543900,0.92,False,Dead-end: true plastic waste waste2 was placed into general bin.,3,3,0,3,0,0,5.0,0.0,1.0,0.0,4.017311473013251,2294,670,2964
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161345.txt,2026-06-16 16:13:45,gpt-4o,v2,3041071326,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.3,2.0,21.220617437997134,7896,2480,10376
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161411.txt,2026-06-16 16:14:11,gpt-4o,v2,784364684,0.92,False,Dead-end: true plastic waste waste1 was placed into paper bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,6.8410965020011645,2311,687,2998
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161430.txt,2026-06-16 16:14:30,gpt-4o,v2,3229215130,0.92,True,success,9,9,3,6,0,0,5.0,5.0,1.3333333333333333,2.0,22.865615299000638,7064,2188,9252
