domain,condition,scene,iteration,seed,threshold,random_query_prob
tomato,ours-when-only,3,16,1454289978,0.8,0.4
tomato,ours-what-only,3,16,1454289978,0.8,0.4
tomato,ours,3,16,1454289978,0.8,0.4
tomato,random,3,17,3631765459,0.8,0.4
tomato,ours-when-only,3,17,3631765459,0.8,0.4
tomato,ours-what-only,3,17,3631765459,0.8,0.4
tomato,ours,3,17,3631765459,0.8,0.4
tomato,random,3,18,1005437090,0.8,0.4
tomato,ours-when-only,3,18,1005437090,0.8,0.4
tomato,ours-what-only,3,18,1005437090,0.8,0.4
tomato,ours,3,18,1005437090,0.8,0.4
tomato,random,3,19,2107246049,0.8,0.4
tomato,ours-when-only,3,19,2107246049,0.8,0.4
tomato,ours-what-only,3,19,2107246049,0.8,0.4
tomato,ours,3,19,2107246049,0.8,0.4
tomato,random,3,20,2559286479,0.8,0.4
tomato,ours-when-only,3,20,2559286479,0.8,0.4
tomato,ours-what-only,3,20,2559286479,0.8,0.4
tomato,ours,3,20,2559286479,0.8,0.4
tomato,random,3,21,3814785464,0.8,0.4
tomato,ours-when-only,3,21,3814785464,0.8,0.4
tomato,ours-what-only,3,21,3814785464,0.8,0.4
tomato,ours,3,21,3814785464,0.8,0.4
tomato,random,3,22,1252332960,0.8,0.4
tomato,ours-when-only,3,22,1252332960,0.8,0.4
tomato,ours-what-only,3,22,1252332960,0.8,0.4
tomato,ours,3,22,1252332960,0.8,0.4
tomato,random,3,23,4008873019,0.8,0.4
tomato,ours-when-only,3,23,4008873019,0.8,0.4
tomato,ours-what-only,3,23,4008873019,0.8,0.4
tomato,ours,3,23,4008873019,0.8,0.4
tomato,random,3,24,1627605610,0.8,0.4
tomato,ours-when-only,3,24,1627605610,0.8,0.4
tomato,ours-what-only,3,24,1627605610,0.8,0.4
tomato,ours,3,24,1627605610,0.8,0.4
tomato,random,3,25,2197107180,0.8,0.4
tomato,ours-when-only,3,25,2197107180,0.8,0.4
tomato,ours-what-only,3,25,2197107180,0.8,0.4
tomato,ours,3,25,2197107180,0.8,0.4
tomato,random,3,26,70087057,0.8,0.4
tomato,ours-when-only,3,26,70087057,0.8,0.4
tomato,ours-what-only,3,26,70087057,0.8,0.4
tomato,ours,3,26,70087057,0.8,0.4
tomato,random,3,27,8630651,0.8,0.4
tomato,ours-when-only,3,27,8630651,0.8,0.4
tomato,ours-what-only,3,27,8630651,0.8,0.4
tomato,ours,3,27,8630651,0.8,0.4
tomato,random,3,28,657498695,0.8,0.4
tomato,ours-when-only,3,28,657498695,0.8,0.4
tomato,ours-what-only,3,28,657498695,0.8,0.4
tomato,ours,3,28,657498695,0.8,0.4
tomato,random,3,29,1193704404,0.8,0.4
tomato,ours-when-only,3,29,1193704404,0.8,0.4
tomato,ours-what-only,3,29,1193704404,0.8,0.4
tomato,ours,3,29,1193704404,0.8,0.4
tomato,random,3,30,1712963344,0.8,0.4
tomato,ours-when-only,3,30,1712963344,0.8,0.4
tomato,ours-what-only,3,30,1712963344,0.8,0.4
tomato,ours,3,30,1712963344,0.8,0.4
tomato,random,3,31,1016817503,0.8,0.4
tomato,ours-when-only,3,31,1016817503,0.8,0.4
