domain,domain_code,condition,condition_code,scenario,time_type,seconds,time_hms,source_row,source_column
토마토,T,KnowNo,5,1,operation,223,3:43,296,7
토마토,T,KnowNo,5,1,survey,76,1:16,296,7
토마토,T,No,2,4,operation,222,3:42,296,13
토마토,T,No,2,4,survey,127,2:07,296,13
토마토,T,KnowNo,5,1,operation,206,3:26,304,1
토마토,T,KnowNo,5,1,survey,122,2:02,304,1
토마토,T,No,2,5,operation,191,3:11,304,7
토마토,T,No,2,5,survey,109,1:49,304,7
토마토,T,Ours1,3,3,operation,266,4:26,304,13
토마토,T,Ours1,3,3,survey,100,1:40,304,13
토마토,T,Ours1,3,5,operation,195,3:15,312,1
토마토,T,Ours1,3,5,survey,88,1:28,312,1
토마토,T,ALL,1,4,operation,258,4:18,312,7
토마토,T,ALL,1,4,survey,104,1:44,312,7
토마토,T,KnowNo,5,2,operation,204,3:24,312,13
토마토,T,KnowNo,5,2,survey,123,2:03,312,13
토마토,T,Ours2,4,4,operation,236,3:56,320,1
토마토,T,Ours2,4,4,survey,89,1:29,320,1
토마토,T,Ours1,3,2,operation,210,3:30,320,7
토마토,T,Ours1,3,2,survey,75,1:15,320,7
토마토,T,Ours2,4,5,operation,197,3:17,320,13
토마토,T,Ours2,4,5,survey,82,1:22,320,13
토마토,T,No,2,3,operation,179,2:59,328,1
토마토,T,No,2,3,survey,71,1:11,328,1
토마토,T,Ours2,4,3,operation,240,4:00,328,7
토마토,T,Ours2,4,3,survey,67,1:07,328,7
토마토,T,ALL,1,1,operation,219,3:39,328,13
토마토,T,ALL,1,1,survey,110,1:50,328,13
