measure,description,domain_panel,direction,test_family,test,comparison,n,C1_mean,C1_sd,C2_mean,C2_sd,C3_mean,C3_sd,C4_mean,C4_sd,C5_mean,C5_sd,statistic,df,p,p_holm,effect_size,mean_difference,median_difference
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C1,3,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,0,,0.25,1,-1,-0.25,-1
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C2,3,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,0,,0.25,1,-1,-0.25,-1
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C3,5,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,6,,1,1,0.2,0.0833333,1
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C5,6,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,7,,0.6875,1,0.333333,0.166667,1
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Friedman,C1-C5,12,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,13.8301,4,0.00785764,,0.288126,,
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Wilcoxon signed-rank exact,C3-C1,7,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,0,,0.015625,0.109375,-1,-0.333333,-0.5
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Wilcoxon signed-rank exact,C3-C2,6,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,0,,0.03125,0.1875,-1,-0.291667,-0.5
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Wilcoxon signed-rank exact,C3-C5,8,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,16,,0.882812,1,0.111111,0.0416667,0
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Wilcoxon signed-rank exact,C4-C1,6,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,0,,0.03125,0.1875,-1,-0.25,-0.5
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Wilcoxon signed-rank exact,C4-C2,7,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,4,,0.125,0.5,-0.714286,-0.208333,-0.5
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Wilcoxon signed-rank exact,C4-C3,8,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,13.5,,0.726562,1,0.25,0.0833333,0.5
SAGAT_Q2,SAGAT correctness for Q2,통합,higher,planned,Wilcoxon signed-rank exact,C4-C5,7,1,0,0.958333,0.144338,0.666667,0.325669,0.75,0.261116,0.625,0.433013,9,,0.4375,1,0.357143,0.125,0.5
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Friedman,C1-C5,12,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,3.86207,4,0.424994,,0.0804598,,
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C1,8,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,9,,0.289062,1,-0.5,-0.333333,-1
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C2,6,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,10.5,,1,1,0,0,0
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C5,8,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,13.5,,0.726562,1,-0.25,-0.166667,-1
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C1,5,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,3,,0.375,1,-0.6,-0.25,-1
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C2,3,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,2,,1,1,0.333333,0.0833333,1
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C3,7,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,12,,1,1,0.142857,0.0833333,1
SAGAT_Q3,SAGAT correctness for Q3,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C5,5,0.583333,0.514929,0.25,0.452267,0.25,0.452267,0.333333,0.492366,0.416667,0.514929,6,,1,1,-0.2,-0.0833333,-1
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Friedman,C1-C5,12,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,3.66667,4,0.452993,,0.0763889,,
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C1,4,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,5,,1,1,0,0,0
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C2,3,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,2,,1,1,-0.333333,-0.0833333,-1
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C5,6,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,7,,0.6875,1,-0.333333,-0.166667,-1
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C1,4,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,2.5,,0.625,1,-0.5,-0.166667,-1
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C2,5,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,3,,0.375,1,-0.6,-0.25,-1
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C3,4,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,2.5,,0.625,1,-0.5,-0.166667,-1
SAGAT_Q3,SAGAT correctness for Q3,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C5,4,0.25,0.452267,0.333333,0.492366,0.25,0.452267,0.0833333,0.288675,0.416667,0.514929,0,,0.125,0.875,-1,-0.333333,-1
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Friedman,C1-C5,12,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,4.21302,4,0.377944,,0.0877712,,
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Wilcoxon signed-rank exact,C3-C1,8,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,9,,0.289062,1,-0.5,-0.166667,-0.5
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Wilcoxon signed-rank exact,C3-C2,5,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,6,,1,1,-0.2,-0.0416667,-0.5
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Wilcoxon signed-rank exact,C3-C5,9,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,15,,0.480469,1,-0.333333,-0.166667,-0.5
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Wilcoxon signed-rank exact,C4-C1,8,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,8,,0.234375,1,-0.555556,-0.208333,-0.5
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Wilcoxon signed-rank exact,C4-C2,5,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,5,,0.75,1,-0.333333,-0.0833333,-0.5
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Wilcoxon signed-rank exact,C4-C3,7,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,12.5,,0.984375,1,-0.107143,-0.0416667,-0.5
SAGAT_Q3,SAGAT correctness for Q3,통합,higher,planned,Wilcoxon signed-rank exact,C4-C5,5,0.416667,0.288675,0.291667,0.334279,0.25,0.3371,0.208333,0.334279,0.416667,0.35887,2,,0.25,1,-0.733333,-0.208333,-0.5
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Friedman,C1-C5,12,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,3.27273,4,0.513265,,0.0681818,,
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C1,7,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,8,,0.453125,1,0.428571,0.25,1
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C2,5,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,3,,0.375,1,0.6,0.25,1
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C5,10,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,27.5,,1,1,0,0,0
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C1,7,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,8,,0.453125,1,0.428571,0.25,1
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C2,7,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,8,,0.453125,1,0.428571,0.25,1
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C3,6,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,10.5,,1,1,0,0,0
SAGAT_Q4,SAGAT correctness for Q4,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C5,8,0.333333,0.492366,0.333333,0.492366,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,18,,1,1,0,0,0
SAGAT_Q4,SAGAT correctness for Q4,분리수거,higher,planned,Friedman,C1-C5,12,0.5,0.522233,0.166667,0.389249,1,0,0.0833333,0.288675,0.5,0.522233,22.1176,4,0.000189897,,0.460784,,
SAGAT_Q4,SAGAT correctness for Q4,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C1,6,0.5,0.522233,0.166667,0.389249,1,0,0.0833333,0.288675,0.5,0.522233,0,,0.03125,0.15625,1,0.5,1
SAGAT_Q4,SAGAT correctness for Q4,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C2,10,0.5,0.522233,0.166667,0.389249,1,0,0.0833333,0.288675,0.5,0.522233,0,,0.00195312,0.0117188,1,0.833333,1
