figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,knowno_gpt4,KnowNo,tomato,Tomato,1,0.203908,0.203908,0.203908,,0.203908
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,ours,Ours,waste,Waste,1,0.380137,0.380137,0.380137,,0.380137
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,ours,Ours,tomato,Tomato,1,0.481359,0.481359,0.481359,,0.481359
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,all,All,waste,Waste,1,1.000000,1.000000,1.000000,,1.000000
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,all,All,tomato,Tomato,1,1.000000,1.000000,1.000000,,1.000000
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,no,No,waste,Waste,1,0.000000,0.000000,0.000000,,0.000000
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,no,No,tomato,Tomato,1,0.000000,0.000000,0.000000,,0.000000
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,random,Random,waste,Waste,1,0.344633,0.344633,0.344633,,0.344633
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,random,Random,tomato,Tomato,1,0.463572,0.463572,0.463572,,0.463572
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,knowno_gpt4,KnowNo,waste,Waste,1,0.312684,0.312684,0.312684,,0.312684
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,knowno_gpt4,KnowNo,tomato,Tomato,1,0.190918,0.190918,0.190918,,0.190918
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,ours,Ours,waste,Waste,1,0.457447,0.457447,0.457447,,0.457447
policy_compare_total_query_probability_per_step_failure_only,query_probability_per_step_failure_only,Query Probability per Step,ours,Ours,tomato,Tomato,1,0.492784,0.492784,0.492784,,0.492784
policy_compare_total_average_reward,average_reward,Average Reward,all,All,waste,Waste,200,14.700000,0.000000,30.000000,7.983022,14.700000
policy_compare_total_average_reward,average_reward,Average Reward,all,All,tomato,Tomato,200,6.875000,0.000000,15.000000,4.439360,6.875000
policy_compare_total_average_reward,average_reward,Average Reward,no,No,waste,Waste,200,2.725000,0.000000,30.000000,6.627139,2.725000
policy_compare_total_average_reward,average_reward,Average Reward,no,No,tomato,Tomato,200,2.050000,0.000000,20.000000,3.406689,2.050000
policy_compare_total_average_reward,average_reward,Average Reward,random,Random,waste,Waste,200,16.875000,0.000000,30.000000,7.149472,16.875000
policy_compare_total_average_reward,average_reward,Average Reward,random,Random,tomato,Tomato,200,2.750000,0.000000,10.000000,3.238819,2.750000
policy_compare_total_average_reward,average_reward,Average Reward,knowno_gpt4,KnowNo,waste,Waste,0,,,,,
policy_compare_total_average_reward,average_reward,Average Reward,knowno_gpt4,KnowNo,tomato,Tomato,0,,,,,
policy_compare_total_average_reward,average_reward,Average Reward,ours,Ours,waste,Waste,200,13.550000,0.000000,30.000000,8.291032,13.550000
policy_compare_total_average_reward,average_reward,Average Reward,ours,Ours,tomato,Tomato,200,7.425000,0.000000,15.000000,4.728230,7.425000
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,all,All,waste,Waste,195,15.000000,0.000000,30.000000,7.848435,15.000000
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,all,All,tomato,Tomato,163,7.546012,0.000000,15.000000,4.352100,7.546012
