domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_164036.txt,2026-06-16 16:40:36,gpt-4o,v2,4234071420,0.92,True,success,13,13,2,11,0,0,5.0,5.0,1.1538461538461537,2.0,35.3469664209988,26978,5829,32807
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_172050.txt,2026-06-16 17:20:50,gpt-4o,v2,1166822116,0.92,False,invalid scan without held tomato,11,12,2,10,1,0,5.0,5.0,1.3333333333333333,3.0,32.98214902399923,24870,5347,30217
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_172133.txt,2026-06-16 17:21:33,gpt-4o,v2,1807858905,0.92,True,success,15,15,3,12,0,1,5.0,5.0,1.2,2.0,39.31759114700253,31276,6871,38147
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_172215.txt,2026-06-16 17:22:15,gpt-4o,v2,1995228993,0.92,True,success,14,14,4,10,1,0,5.0,5.0,1.5,2.75,41.81571953000093,29106,6329,35435
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_172300.txt,2026-06-16 17:23:00,gpt-4o,v2,3460011788,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,11,11,4,7,0,1,5.0,5.0,1.4545454545454546,2.25,74.16559171500558,22801,4904,27705
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_172418.txt,2026-06-16 17:24:18,gpt-4o,v2,3803818788,0.92,False,non-executable action selected: an option not listed here,5,6,4,2,0,3,5.0,5.0,1.6666666666666667,2.0,68.6800712980039,12358,2596,14954
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_172533.txt,2026-06-16 17:25:33,gpt-4o,v2,4263944562,0.92,False,invalid pick tomato not observed here: tomato2,6,7,1,6,0,0,5.0,5.0,1.1428571428571428,2.0,18.279325717987376,14379,2991,17370
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_175307.txt,2026-06-16 17:53:07,gpt-4o,v2,1797820829,0.92,True,success,14,14,3,11,1,0,5.0,5.0,1.3571428571428572,2.6666666666666665,67.01364334800746,29091,6316,35407
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164118.txt,2026-06-16 16:41:18,gpt-4o,v2,938090838,0.92,True,success,13,13,3,10,0,0,5.0,5.0,1.3076923076923077,2.3333333333333335,28.51171058199543,26949,5798,32747
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164150.txt,2026-06-16 16:41:50,gpt-4o,v2,505368316,0.92,False,invalid pick tomato not observed here: tomato2,6,7,1,6,0,0,5.0,5.0,1.1428571428571428,2.0,150.0185825110093,14376,2989,17365
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164430.txt,2026-06-16 16:44:30,gpt-4o,v2,744154366,0.92,False,Dead-end: true rotten tomato tomato1 was loaded.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,8.005525658008992,10238,2103,12341
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164441.txt,2026-06-16 16:44:41,gpt-4o,v2,2854133370,0.92,False,invalid pick tomato not observed here: tomato1,6,7,1,6,0,0,5.0,5.0,1.1428571428571428,2.0,14.599690305010881,14378,2992,17370
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164506.txt,2026-06-16 16:45:06,gpt-4o,v2,4225833892,0.92,True,success,15,15,3,12,0,1,5.0,5.0,1.3333333333333333,2.6666666666666665,39.96794332499849,31191,6787,37978
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164549.txt,2026-06-16 16:45:49,gpt-4o,v2,3544955695,0.92,False,Dead-end: true rotten tomato tomato1 was loaded.,13,13,5,8,3,1,5.0,5.0,1.8461538461538463,3.2,50.96882170200115,27000,5850,32850
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164645.txt,2026-06-16 16:46:45,gpt-4o,v2,186336850,0.92,False,Dead-end: true rotten tomato tomato1 was loaded.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,8.408150367002236,10235,2100,12335
